city_ascii,state_id,state_name,lat,lng,population
New York,NY,New York,40.6943,-73.9249,18680025
Los Angeles,CA,California,34.1141,-118.4068,12531334
Chicago,IL,Illinois,41.8375,-87.6866,8586888
Miami,FL,Florida,25.784,-80.2101,6076316
Dallas,TX,Texas,32.7935,-96.7667,5910669
Houston,TX,Texas,29.786,-95.3885,5724418
Philadelphia,PA,Pennsylvania,40.0077,-75.1339,5540199
Atlanta,GA,Georgia,33.7628,-84.422,5151496
Washington,DC,District of Columbia,38.9047,-77.0163,5066973
Boston,MA,Massachusetts,42.3188,-71.0852,4465966
Phoenix,AZ,Arizona,33.5722,-112.0892,4187723
Detroit,MI,Michigan,42.3834,-83.1024,3731486
San Francisco,CA,California,37.7558,-122.4449,3557982
Seattle,WA,Washington,47.6211,-122.3244,3530752
San Diego,CA,California,32.8313,-117.1222,3178495
Minneapolis,MN,Minnesota,44.9635,-93.2678,2885614
Tampa,FL,Florida,27.9945,-82.4447,2771700
Denver,CO,Colorado,39.762,-104.8758,2709398
Baltimore,MD,Maryland,39.3051,-76.6144,2270087
Las Vegas,NV,Nevada,36.2333,-115.2654,2165405
St. Louis,MO,Missouri,38.6359,-90.2451,2144317
Riverside,CA,California,33.9381,-117.3949,2112239
Portland,OR,Oregon,45.5371,-122.65,2072553
San Antonio,TX,Texas,29.4632,-98.5238,2036324
Sacramento,CA,California,38.5677,-121.4685,1882358
San Juan,PR,Puerto Rico,18.3985,-66.061,1854549
San Jose,CA,California,37.3012,-121.848,1797166
Orlando,FL,Florida,28.4773,-81.337,1792047
Cleveland,OH,Ohio,41.4764,-81.6805,1742437
Pittsburgh,PA,Pennsylvania,40.4397,-79.9763,1719289
Austin,TX,Texas,30.3005,-97.7522,1685522
Cincinnati,OH,Ohio,39.1413,-84.506,1684800
Indianapolis,IN,Indiana,39.7771,-86.1458,1636763
Kansas City,MO,Missouri,39.1238,-94.5541,1602005
Columbus,OH,Ohio,39.9862,-82.9855,1547862
Charlotte,NC,North Carolina,35.2083,-80.8303,1526465
Virginia Beach,VA,Virginia,36.7335,-76.0435,1475522
Milwaukee,WI,Wisconsin,43.0642,-87.9675,1390046
Providence,RI,Rhode Island,41.823,-71.4187,1204385
Jacksonville,FL,Florida,30.3322,-81.6749,1165107
Salt Lake City,UT,Utah,40.7776,-111.9311,1135747
Nashville,TN,Tennessee,36.1715,-86.7842,1081876
Raleigh,NC,North Carolina,35.8324,-78.6429,1073795
Memphis,TN,Tennessee,35.1087,-89.9663,1072330
Richmond,VA,Virginia,37.5295,-77.4756,1025117
Louisville,KY,Kentucky,38.1663,-85.6485,1004821
New Orleans,LA,Louisiana,30.0687,-89.9288,957783
Bridgeport,CT,Connecticut,41.1918,-73.1954,948918
Oklahoma City,OK,Oklahoma,35.4676,-97.5136,947247
Buffalo,NY,New York,42.9018,-78.8487,926607
Hartford,CT,Connecticut,41.7661,-72.6834,918434
Fort Worth,TX,Texas,32.7817,-97.3474,892221
Tucson,AZ,Arizona,32.1541,-110.8787,883127
Honolulu,HI,Hawaii,21.3294,-157.846,834138
McAllen,TX,Texas,26.2252,-98.2467,805270
El Paso,TX,Texas,31.8476,-106.43,798217
Omaha,NE,Nebraska,41.2627,-96.0529,791432
Albuquerque,NM,New Mexico,35.1054,-106.6465,762853
Birmingham,AL,Alabama,33.5279,-86.7971,753721
Sarasota,FL,Florida,27.3387,-82.5432,727388
Dayton,OH,Ohio,39.7805,-84.2003,723844
Rochester,NY,New York,43.168,-77.6162,720189
Fresno,CA,California,36.783,-119.7939,702486
Tulsa,OK,Oklahoma,36.1283,-95.9042,698349
Allentown,PA,Pennsylvania,40.5961,-75.4756,688658
Concord,CA,California,37.9722,-122.0016,667250
Cape Coral,FL,Florida,26.6443,-81.9957,649339
Charleston,SC,South Carolina,32.8168,-79.9687,645413
Colorado Springs,CO,Colorado,38.8674,-104.7605,621332
Springfield,MA,Massachusetts,42.1155,-72.5395,615728
Grand Rapids,MI,Michigan,42.9619,-85.6562,615273
Ogden,UT,Utah,41.2279,-111.9682,615015
Columbia,SC,South Carolina,34.0378,-80.9036,609689
Baton Rouge,LA,Louisiana,30.442,-91.1311,605449
Knoxville,TN,Tennessee,35.9692,-83.9496,603685
Mission Viejo,CA,California,33.6096,-117.6551,600802
Albany,NY,New York,42.6664,-73.7987,590823
